"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 06 05:56:06 UTC 2025","Sat Dec 06 05:56:09 UTC 2025","3143","Google Chrome","register.spec.ts","","","","@register verify user is able to register Alice",""
"passed","Sat Dec 06 05:56:24 UTC 2025","Sat Dec 06 05:56:27 UTC 2025","2867","Google Chrome","search.spec.ts","","","","@search @sanity verify product search canon",""
"passed","Sat Dec 06 05:55:21 UTC 2025","Sat Dec 06 05:55:25 UTC 2025","4047","Google Chrome","productinfo.spec.ts","","","","verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Sat Dec 06 05:56:22 UTC 2025","Sat Dec 06 05:56:24 UTC 2025","2837","Google Chrome","search.spec.ts","","","","@search @sanity verify product search imac",""
"passed","Sat Dec 06 05:54:48 UTC 2025","Sat Dec 06 05:54:53 UTC 2025","5090","Google Chrome","loginpage.spec.ts","","","","verify valid login @login",""
"passed","Sat Dec 06 05:55:05 UTC 2025","Sat Dec 06 05:55:10 UTC 2025","4126","Google Chrome","productinfo.spec.ts","","","","verify product Header MacBook Air",""
"passed","Sat Dec 06 05:56:19 UTC 2025","Sat Dec 06 05:56:22 UTC 2025","2804","Google Chrome","search.spec.ts","","","","@search @sanity verify product search samsung",""
"passed","Sat Dec 06 05:55:30 UTC 2025","Sat Dec 06 05:55:34 UTC 2025","4115","Google Chrome","productinfo.spec.ts","","","","verify product Pricing",""
"passed","Sat Dec 06 05:55:10 UTC 2025","Sat Dec 06 05:55:13 UTC 2025","3484","Google Chrome","productinfo.spec.ts","","","","verify product Header Samsung Galaxy Tab 10.1",""
"passed","Sat Dec 06 05:55:13 UTC 2025","Sat Dec 06 05:55:17 UTC 2025","4080","Google Chrome","productinfo.spec.ts","","","","verify product Images MacBook Pro : 4",""
"passed","Sat Dec 06 05:55:01 UTC 2025","Sat Dec 06 05:55:05 UTC 2025","4214","Google Chrome","productinfo.spec.ts","","","","verify product Header MacBook Pro",""
"passed","Sat Dec 06 05:55:01 UTC 2025","Sat Dec 06 05:55:01 UTC 2025","2","Google Chrome","loginpage.spec.ts","","","","sample test @sample",""
"broken","Sat Dec 06 05:55:34 UTC 2025","Sat Dec 06 05:56:05 UTC 2025","31167","Google Chrome","regfix.spec.ts","","","","Register a user from CSV",""
"passed","Sat Dec 06 05:56:12 UTC 2025","Sat Dec 06 05:56:16 UTC 2025","3688","Google Chrome","register.spec.ts","","","","@register verify user is able to register Charlie",""
"passed","Sat Dec 06 05:54:59 UTC 2025","Sat Dec 06 05:55:01 UTC 2025","2455","Google Chrome","loginpage.spec.ts","","","","verify Invalid login @wip",""
"passed","Sat Dec 06 05:56:27 UTC 2025","Sat Dec 06 05:56:30 UTC 2025","2821","Google Chrome","search.spec.ts","","","","@search @sanity verify product search Dummy",""
"passed","Sat Dec 06 05:55:25 UTC 2025","Sat Dec 06 05:55:30 UTC 2025","4277","Google Chrome","productinfo.spec.ts","","","","verify product MetaData",""
"passed","Sat Dec 06 05:56:09 UTC 2025","Sat Dec 06 05:56:12 UTC 2025","3175","Google Chrome","register.spec.ts","","","","@register verify user is able to register Bob",""
"passed","Sat Dec 06 05:55:17 UTC 2025","Sat Dec 06 05:55:21 UTC 2025","4159","Google Chrome","productinfo.spec.ts","","","","verify product Images MacBook Air : 4",""
"passed","Sat Dec 06 05:56:16 UTC 2025","Sat Dec 06 05:56:19 UTC 2025","2928","Google Chrome","search.spec.ts","","","","@search @sanity verify product search macbook",""
